kind,strategy,rank,size_or_length,file,lines,label,note
merkle_cluster,merkle_exact,1,19,fact_graph.py,1002-1004,real,"repeated clause-guard inside query-builder family (subsumed by #3 sibling run)"
merkle_cluster,merkle_exact,2,4,fact_graph.py,3780-3782,real,"small helper call pattern repeated"
merkle_cluster,merkle_exact,3,4,fact_graph.py,196-198,real,"clause guard echo"
merkle_cluster,merkle_exact,4,3,type_oracle.py,1361-1369,real,"Adapter __init__ shared shape across Pyright/Ty/TS"
merkle_cluster,merkle_exact,5,3,fact_graph.py,2563-2571,real,"_all_calls / _all_references / _all_types shared shape"
merkle_cluster,merkle_exact,6,3,fact_graph.py,2564-2571,real,"same as #5 at a sub-block offset (counts separately because iter_candidates yields body block too)"
merkle_cluster,merkle_exact,7,3,fact_graph.py,2583-2590,real,"_all_types / _all_imports shared shape"
merkle_cluster,merkle_exact,8,3,fact_graph.py,2584-2590,real,"sub-block version of #7"
merkle_cluster,merkle_exact,9,3,type_oracle.py,1091-1094,real,"second copy of adapter init shape"
merkle_cluster,merkle_exact,10,3,type_oracle.py,1368-1369,real,"sub-block version of #4"
sibling_run,winnowing,1,9,transform.py,3809-3829 <-> 4086-4106,real,"set_component vs remove_component opening prefix; extract _resolve_component_range"
sibling_run,winnowing,2,7,fact_graph.py,1132-1142 <-> 1185-1195,real,"query-builder family"
sibling_run,winnowing,3,7,fact_graph.py,1132-1142 <-> 1234-1244,real,"query-builder family"
sibling_run,winnowing,4,7,fact_graph.py,1132-1142 <-> 1260-1270,real,"query-builder family"
sibling_run,winnowing,5,7,fact_graph.py,1185-1195 <-> 1234-1244,real,"query-builder family"
sibling_run,winnowing,6,7,fact_graph.py,1185-1195 <-> 1260-1270,real,"query-builder family"
sibling_run,winnowing,7,7,fact_graph.py,1234-1244 <-> 1260-1270,real,"query-builder family"
sibling_run,winnowing,8,7,type_oracle.py,623-643 <-> 666-686,real,"per-backend caching path shared opening"
sibling_run,winnowing,9,7,transform.py,4059-4073 <-> 4184-4198,real,"third member of the set_component family"
sibling_run,winnowing,10,6,fact_graph.py,997-1009 <-> 1157-1168,real,"inner clause-guard"
lsh_only,kind_shingles_minhash,sample,,,,boilerplate,"1713 LSH-only pairs total; sampled 10 — 3 real near-dupes of the query-builder family already found by Merkle, 7 'two functions that share for+if+return shape' with no semantic overlap"
lsh_only,simhash,sample,,,,spurious,"3106305 LSH-only pairs driven by a single 3510-cluster at threshold=0.9; treated as noise, not sampled"
lsh_only,kind_token_shingles_minhash,sample,,,,real,"179 LSH-only pairs; sampled 10 — 6 real near-dupes (query-builder family, adapter inits), 4 boilerplate"
lsh_only,bag_of_subtrees,sample,,,,n/a,"0 LSH-only pairs vs merkle_exact; no sampling needed"
